path,name,extension,size_bytes,created,modified,accessed
C:\FAX\MASTER\Digitalna forenzika\Seminarski rad.docx,Seminarski rad.docx,docx,959858,2025-12-20 15:37:06,2025-12-22 23:47:36,2025-12-24 22:23:41
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\aktivnost_po_danima.png,aktivnost_po_danima.png,png,108374,2025-12-21 16:41:55,2025-12-21 17:07:14,2025-12-22 01:15:09
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\daily_accesses.csv,daily_accesses.csv,csv,2996,2025-12-24 19:39:26,2025-12-24 22:24:55,2025-12-24 22:24:55
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\metadata.csv,metadata.csv,csv,117703,2025-12-21 20:07:32,2025-12-21 20:20:55,2025-12-24 21:18:47
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\package-lock.json,package-lock.json,json,102,2025-12-20 14:45:46,2025-12-20 14:45:46,2025-12-24 18:53:55
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\petar.py,petar.py,py,6128,2025-12-21 16:26:29,2025-12-24 19:59:33,2025-12-24 22:21:53
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\README.md,README.md,md,19,2025-12-15 02:15:34,2025-12-15 02:15:34,2025-12-15 02:16:01
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\test.py,test.py,py,26868,2025-12-20 14:45:46,2025-12-24 22:25:46,2025-12-24 22:25:48
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\test.txt,test.txt,txt,15,2025-12-15 02:15:44,2025-12-15 02:19:04,2025-12-22 22:34:30
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\24122025\anomalies.csv,anomalies.csv,csv,5962,2025-12-24 19:38:12,2025-12-24 22:24:53,2025-12-24 22:24:53
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\24122025\calendar_calplot.png,calendar_calplot.png,png,63241,2025-12-24 22:16:09,2025-12-24 22:24:56,2025-12-24 22:24:56
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\24122025\file_types_distribution.png,file_types_distribution.png,png,218235,2025-12-24 22:17:54,2025-12-24 22:24:54,2025-12-24 22:24:54
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\24122025\metadata.csv,metadata.csv,csv,32320,2025-12-24 19:38:12,2025-12-24 22:24:53,2025-12-24 22:24:55
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\OsnovnePodaci\metadata.csv,metadata.csv,csv,117703,2025-12-24 18:33:53,2025-12-24 18:33:53,2025-12-24 18:33:53
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\OsnovnePodaci1234\anomalies.csv,anomalies.csv,csv,15529,2025-12-21 20:19:40,2025-12-22 23:22:07,2025-12-23 00:03:36
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\OsnovnePodaci1234\file_modifications_over_time.png,file_modifications_over_time.png,png,26749,2025-12-21 20:19:45,2025-12-22 23:22:18,2025-12-23 00:03:38
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\OsnovnePodaci1234\file_size_analysis_complete.png,file_size_analysis_complete.png,png,193222,2025-12-21 20:19:43,2025-12-22 00:48:53,2025-12-22 23:25:38
C:\FAX\MASTER\Digitalna forenzika\Digital-forensics\OsnovnePodaci1234\file_size_overview.png,file_size_overview.png,png,199841,2025-12-22 22:39:31,2025-12-22 23:22:10,2025-12-23 00:03:38
