path,name,extension,size_bytes,created,modified,accessed
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.exe,DependencyInjection.exe,exe,146944,2025-09-09 21:55:31.206875,2025-09-09 22:16:07.050969,2025-10-21 16:07:24.181359
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\Microsoft.AspNetCore.OpenApi.dll,Microsoft.AspNetCore.OpenApi.dll,dll,195352,2025-09-09 21:55:31.169016,2025-03-14 18:09:28.000000,2025-09-09 22:21:41.513376
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\Microsoft.OpenApi.dll,Microsoft.OpenApi.dll,dll,239024,2025-09-09 21:55:31.170016,2024-08-06 11:15:10.000000,2025-09-09 22:21:41.513376
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\apphost.exe,apphost.exe,exe,146944,2025-09-09 21:55:30.160956,2025-09-09 22:16:07.050969,2025-09-09 22:16:07.052971
C:\POSAO VEGA\NonWorkingDays\NonWorkingDays\bin\Debug\net8.0\NonWorkingDays.exe,NonWorkingDays.exe,exe,138752,2025-05-08 19:36:12.541745,2025-05-08 20:19:17.902408,2025-10-21 16:07:40.279077
C:\POSAO VEGA\NonWorkingDays\NonWorkingDays\obj\Debug\net8.0\apphost.exe,apphost.exe,exe,138752,2025-05-08 19:36:12.481646,2025-05-08 20:19:17.902408,2025-05-08 20:19:17.902408
C:\POSAO VEGA\SimpleWebApi\bin\Debug\net8.0\Microsoft.OpenApi.dll,Microsoft.OpenApi.dll,dll,211344,2025-06-12 23:27:50.260726,2022-09-26 14:32:38.000000,2025-07-10 01:05:53.828490
C:\POSAO VEGA\SimpleWebApi\bin\Debug\net8.0\SimpleWebApi.exe,SimpleWebApi.exe,exe,138752,2025-06-12 23:27:50.285489,2025-06-12 23:28:50.807704,2025-10-21 16:07:46.100312
C:\POSAO VEGA\SimpleWebApi\bin\Debug\net8.0\Swashbuckle.AspNetCore.SwaggerGen.dll,Swashbuckle.AspNetCore.SwaggerGen.dll,dll,97280,2025-06-12 23:27:50.260726,2023-01-11 07:48:26.000000,2025-06-12 23:34:36.348031
C:\POSAO VEGA\SimpleWebApi\bin\Debug\net8.0\Swashbuckle.AspNetCore.SwaggerUI.dll,Swashbuckle.AspNetCore.SwaggerUI.dll,dll,3253760,2025-06-12 23:27:50.260726,2023-01-11 07:49:02.000000,2025-06-12 23:34:36.629606
C:\POSAO VEGA\SimpleWebApi\bin\Debug\net9.0\Microsoft.AspNetCore.OpenApi.dll,Microsoft.AspNetCore.OpenApi.dll,dll,195352,2025-06-12 23:19:55.583465,2025-03-14 18:09:28.000000,2025-12-21 12:39:57.790953
C:\POSAO VEGA\SimpleWebApi\bin\Debug\net9.0\Microsoft.OpenApi.dll,Microsoft.OpenApi.dll,dll,239024,2025-06-12 23:19:55.583465,2024-08-06 11:15:10.000000,2025-06-12 23:22:10.673514
