path,name,extension,size_bytes,created,modified,accessed
C:\POSAO VEGA\What do you know about API.docx,What do you know about API.docx,docx,11912,2025-05-25 17:19:46,2025-05-25 17:19:46,2025-06-12 21:23:08
C:\POSAO VEGA\DependencyInjection\DependencyInjection.sln,DependencyInjection.sln,sln,1171,2025-09-09 21:45:30,2025-09-09 21:45:55,2025-09-29 21:37:58
C:\POSAO VEGA\DependencyInjection\DependencyInjection\appsettings.Development.json,appsettings.Development.json,json,127,2025-09-09 21:45:33,2025-09-09 21:45:33,2025-09-09 22:16:08
C:\POSAO VEGA\DependencyInjection\DependencyInjection\appsettings.json,appsettings.json,json,151,2025-09-09 21:45:33,2025-09-09 21:45:33,2025-09-09 22:16:08
C:\POSAO VEGA\DependencyInjection\DependencyInjection\DependencyInjection.csproj,DependencyInjection.csproj,csproj,333,2025-09-09 21:45:33,2025-09-09 21:45:33,2025-09-09 21:46:03
C:\POSAO VEGA\DependencyInjection\DependencyInjection\DependencyInjection.csproj.user,DependencyInjection.csproj.user,user,238,2025-09-09 21:45:41,2025-09-09 21:45:41,2025-09-09 21:46:03
C:\POSAO VEGA\DependencyInjection\DependencyInjection\DependencyInjection.http,DependencyInjection.http,http,151,2025-09-09 21:45:33,2025-09-09 21:45:33,2025-09-09 21:45:33
C:\POSAO VEGA\DependencyInjection\DependencyInjection\IRandomNumberService.cs,IRandomNumberService.cs,cs,132,2025-09-09 21:47:22,2025-09-09 21:55:03,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\Program.cs,Program.cs,cs,575,2025-09-09 21:45:33,2025-09-09 22:16:05,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\RandomNumberService.cs,RandomNumberService.cs,cs,370,2025-09-09 21:49:42,2025-09-09 22:07:17,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\WeatherForecast.cs,WeatherForecast.cs,cs,299,2025-09-09 21:45:33,2025-09-09 21:45:52,2025-09-09 22:16:15
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\appsettings.Development.json,appsettings.Development.json,json,127,2025-09-09 21:55:31,2025-09-09 21:45:33,2025-09-09 21:55:31
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\appsettings.json,appsettings.json,json,151,2025-09-09 21:55:31,2025-09-09 21:45:33,2025-09-09 21:55:31
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.deps.json,DependencyInjection.deps.json,json,1762,2025-09-09 21:55:31,2025-09-09 21:55:31,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.dll,DependencyInjection.dll,dll,9216,2025-09-09 21:55:31,2025-09-09 22:16:07,2025-09-09 22:16:08
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.exe,DependencyInjection.exe,exe,146944,2025-09-09 21:55:31,2025-09-09 22:16:07,2025-10-21 16:07:24
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.pdb,DependencyInjection.pdb,pdb,21656,2025-09-09 21:55:31,2025-09-09 22:16:07,2025-09-09 22:21:41
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.runtimeconfig.json,DependencyInjection.runtimeconfig.json,json,416,2025-09-09 21:55:31,2025-09-09 21:55:31,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\DependencyInjection.staticwebassets.endpoints.json,DependencyInjection.staticwebassets.endpoints.json,json,51,2025-09-09 21:55:31,2025-09-09 21:55:30,2025-09-09 21:55:31
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\Microsoft.AspNetCore.OpenApi.dll,Microsoft.AspNetCore.OpenApi.dll,dll,195352,2025-09-09 21:55:31,2025-03-14 18:09:28,2025-09-09 22:21:41
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\Microsoft.OpenApi.dll,Microsoft.OpenApi.dll,dll,239024,2025-09-09 21:55:31,2024-08-06 11:15:10,2025-09-09 22:21:41
C:\POSAO VEGA\DependencyInjection\DependencyInjection\Controllers\WeatherForecastController.cs,WeatherForecastController.cs,cs,842,2025-09-09 21:45:33,2025-09-09 22:11:16,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\DependencyInjection.csproj.nuget.dgspec.json,DependencyInjection.csproj.nuget.dgspec.json,json,3046,2025-09-09 21:46:08,2025-09-09 21:46:08,2025-09-09 21:46:08
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\DependencyInjection.csproj.nuget.g.props,DependencyInjection.csproj.nuget.g.props,props,1303,2025-09-09 21:46:08,2025-09-09 21:46:08,2025-09-09 21:46:10
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\DependencyInjection.csproj.nuget.g.targets,DependencyInjection.csproj.nuget.g.targets,targets,150,2025-09-09 21:46:08,2025-09-09 21:46:08,2025-09-09 21:46:10
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\project.assets.json,project.assets.json,json,5082,2025-09-09 21:46:08,2025-09-09 21:46:08,2025-09-09 22:16:09
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\project.nuget.cache,project.nuget.cache,cache,653,2025-09-09 21:46:08,2025-09-09 21:46:08,2025-09-09 21:46:08
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\ApiEndpoints.json,ApiEndpoints.json,json,250,2025-09-09 21:55:55,2025-09-09 22:16:10,2025-09-09 22:16:10
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\apphost.exe,apphost.exe,exe,146944,2025-09-09 21:55:30,2025-09-09 22:16:07,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\Dependen.428E3D85.Up2Date,Dependen.428E3D85.Up2Date,up2date,0,2025-09-09 21:55:31,2025-09-09 21:55:31,2025-09-09 21:55:31
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.AssemblyInfo.cs,DependencyInjection.AssemblyInfo.cs,cs,1030,2025-09-09 21:46:06,2025-09-09 21:46:06,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.AssemblyInfoInputs.cache,DependencyInjection.AssemblyInfoInputs.cache,cache,66,2025-09-09 21:46:06,2025-09-09 21:46:06,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.assets.cache,DependencyInjection.assets.cache,cache,1754,2025-09-09 21:46:10,2025-09-09 21:46:10,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.csproj.AssemblyReference.cache,DependencyInjection.csproj.AssemblyReference.cache,cache,1173,2025-09-09 21:46:10,2025-09-09 21:46:10,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.csproj.BuildWithSkipAnalyzers,DependencyInjection.csproj.BuildWithSkipAnalyzers,buildwithskipanalyzers,0,2025-09-09 21:55:30,2025-09-09 22:16:07,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.csproj.CoreCompileInputs.cache,DependencyInjection.csproj.CoreCompileInputs.cache,cache,66,2025-09-09 21:55:05,2025-09-09 21:55:05,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.csproj.FileListAbsolute.txt,DependencyInjection.csproj.FileListAbsolute.txt,txt,3127,2025-09-09 21:55:31,2025-09-09 21:55:31,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.dll,DependencyInjection.dll,dll,9216,2025-09-09 21:55:29,2025-09-09 22:16:07,2025-09-09 22:16:34
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.GeneratedMSBuildEditorConfig.editorconfig,DependencyInjection.GeneratedMSBuildEditorConfig.editorconfig,editorconfig,1056,2025-09-09 21:46:06,2025-09-09 21:46:06,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.genruntimeconfig.cache,DependencyInjection.genruntimeconfig.cache,cache,66,2025-09-09 21:55:31,2025-09-09 21:55:31,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.GlobalUsings.g.cs,DependencyInjection.GlobalUsings.g.cs,cs,770,2025-09-09 21:46:05,2025-09-09 21:46:05,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.MvcApplicationPartsAssemblyInfo.cache,DependencyInjection.MvcApplicationPartsAssemblyInfo.cache,cache,0,2025-09-09 21:55:05,2025-09-09 21:55:05,2025-09-09 21:55:05
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.MvcApplicationPartsAssemblyInfo.cs,DependencyInjection.MvcApplicationPartsAssemblyInfo.cs,cs,620,2025-09-09 21:55:05,2025-09-09 21:55:05,2025-09-09 22:16:06
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.pdb,DependencyInjection.pdb,pdb,21656,2025-09-09 21:55:29,2025-09-09 22:16:07,2025-09-09 22:16:15
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\staticwebassets.build.endpoints.json,staticwebassets.build.endpoints.json,json,51,2025-09-09 21:55:30,2025-09-09 21:55:30,2025-09-09 21:55:30
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\staticwebassets.build.json,staticwebassets.build.json,json,267,2025-09-09 21:55:30,2025-09-09 21:55:30,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\staticwebassets.build.json.cache,staticwebassets.build.json.cache,cache,44,2025-09-09 21:55:30,2025-09-09 21:55:30,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\staticwebassets.references.upToDateCheck.txt,staticwebassets.references.upToDateCheck.txt,txt,0,2025-09-09 21:55:30,2025-09-09 21:55:30,2025-09-09 21:55:30
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\staticwebassets.removed.txt,staticwebassets.removed.txt,txt,0,2025-09-09 21:46:07,2025-09-09 21:46:07,2025-09-09 21:46:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\ref\DependencyInjection.dll,DependencyInjection.dll,dll,6656,2025-09-09 21:55:31,2025-09-09 22:07:33,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\refint\DependencyInjection.dll,DependencyInjection.dll,dll,6656,2025-09-09 21:55:30,2025-09-09 22:16:07,2025-09-09 22:16:07
C:\POSAO VEGA\DependencyInjection\DependencyInjection\Properties\launchSettings.json,launchSettings.json,json,644,2025-09-09 21:45:33,2025-09-09 21:45:33,2025-09-09 21:45:33
C:\POSAO VEGA\Ekstenzija- Mita\kafica-extension-v2.3\background.js,background.js,js,3973,2025-11-25 14:13:02,2025-12-08 20:28:25,2025-12-08 20:30:42
C:\POSAO VEGA\Ekstenzija- Mita\kafica-extension-v2.3\icon128.png,icon128.png,png,5592,2025-11-24 23:29:34,2025-12-08 20:28:25,2025-12-08 20:30:40
