path,name,extension,size_bytes,created,modified,accessed
C:\Program Files (x86)\AnyDesk\previous-version,previous-version,no_ext,3852912,2022-06-15 18:17:34.594710,2022-07-23 00:57:12.554900,2022-08-13 03:17:19.428874
C:\Program Files (x86)\ASUS\AsusROGLSLService\Armoury Crate Installer.exe,Armoury Crate Installer.exe,exe,1252248,2025-11-25 10:50:58.348588,2025-11-25 10:50:58.349593,2025-12-15 15:12:21.302289
C:\Program Files (x86)\ASUS\AsusROGLSLService\AsusGCGridServiceSetup.exe,AsusGCGridServiceSetup.exe,exe,276808,2025-11-25 10:50:58.615348,2025-11-25 10:50:58.615348,2025-12-15 15:12:21.322263
C:\Program Files (x86)\ASUS\AsusROGLSLService\AsusROGLSLService.exe,AsusROGLSLService.exe,exe,682904,2025-11-25 10:50:58.209686,2025-11-25 10:50:58.210687,2025-12-21 19:04:03.952982
C:\Program Files (x86)\ASUS\AsusROGLSLService\Newtonsoft.Json.dll,Newtonsoft.Json.dll,dll,701992,2025-11-25 10:50:58.914767,2025-11-25 10:50:58.915772,2025-11-25 10:50:58.915772
C:\Program Files (x86)\ASUS\AsusROGLSLService\ProductInfoLib.dll,ProductInfoLib.dll,dll,239208,2025-11-25 10:50:58.917773,2025-11-25 10:50:58.917773,2025-11-25 10:51:01.613572
C:\Program Files (x86)\ASUS\AsusROGLSLService\QueryUWP.exe,QueryUWP.exe,exe,326424,2025-11-25 10:50:58.522098,2025-11-25 10:50:58.522098,2025-12-15 15:12:30.024133
C:\Program Files (x86)\Cisco\Cisco AnyConnect Secure Mobility Client\vpndownloader.exe,vpndownloader.exe,exe,4495280,2025-06-06 15:47:34.000000,2025-06-06 15:47:34.000000,2025-12-15 16:59:28.586696
C:\Program Files (x86)\Cisco\Cisco Secure Client\acciscocrypto.dll,acciscocrypto.dll,dll,1867696,2025-06-06 15:55:22.000000,2025-06-06 15:55:22.000000,2025-12-21 19:00:05.116966
C:\Program Files (x86)\Cisco\Cisco Secure Client\acciscossl.dll,acciscossl.dll,dll,452016,2025-06-06 15:56:00.000000,2025-06-06 15:56:00.000000,2025-12-21 19:00:05.054961
C:\Program Files (x86)\Cisco\Cisco Secure Client\accurl.dll,accurl.dll,dll,332720,2025-06-06 15:57:32.000000,2025-06-06 15:57:32.000000,2025-12-21 19:00:06.016683
C:\Program Files (x86)\Cisco\Cisco Secure Client\acextwebhelper.exe,acextwebhelper.exe,exe,565168,2025-06-06 15:51:40.000000,2025-06-06 15:51:40.000000,2025-12-15 15:12:21.212750
C:\Program Files (x86)\Cisco\Cisco Secure Client\acfeedback.dll,acfeedback.dll,dll,491440,2025-06-06 15:55:06.000000,2025-06-06 15:55:06.000000,2025-12-21 19:00:08.297363
C:\Program Files (x86)\Cisco\Cisco Secure Client\acruntime.dll,acruntime.dll,dll,998320,2025-06-06 15:58:08.000000,2025-06-06 15:58:08.000000,2025-10-03 12:04:14.617846
C:\Program Files (x86)\Cisco\Cisco Secure Client\acsock64.sys,acsock64.sys,sys,472144,2025-06-06 15:11:34.000000,2025-06-06 15:11:34.000000,2025-12-15 15:12:21.213751
C:\Program Files (x86)\Cisco\Cisco Secure Client\acsocktool.exe,acsocktool.exe,exe,301488,2025-06-06 15:11:34.000000,2025-06-06 15:11:34.000000,2025-12-15 15:12:21.214750
C:\Program Files (x86)\Cisco\Cisco Secure Client\acsock_api_common.dll,acsock_api_common.dll,dll,256432,2025-06-06 15:11:34.000000,2025-06-06 15:11:34.000000,2025-12-21 19:00:06.802802
C:\Program Files (x86)\Cisco\Cisco Secure Client\acwebhelper.exe,acwebhelper.exe,exe,684464,2025-06-06 15:49:22.000000,2025-06-06 15:49:22.000000,2025-12-21 19:01:01.172500
C:\Program Files (x86)\Cisco\Cisco Secure Client\cfom.dll,cfom.dll,dll,414128,2025-06-06 15:55:46.000000,2025-06-06 15:55:46.000000,2025-10-03 12:04:14.797585
C:\Program Files (x86)\Cisco\Cisco Secure Client\concrt140.dll,concrt140.dll,dll,243576,2025-06-06 15:14:46.000000,2025-06-06 15:14:46.000000,2025-10-03 12:04:14.591628
C:\Program Files (x86)\Cisco\Cisco Secure Client\InstallHelper.exe,InstallHelper.exe,exe,612784,2025-06-06 15:37:44.000000,2025-06-06 15:37:44.000000,2025-12-15 15:12:26.874466
C:\Program Files (x86)\Cisco\Cisco Secure Client\InstallHelper64.exe,InstallHelper64.exe,exe,1209776,2025-06-06 15:38:40.000000,2025-06-06 15:38:40.000000,2025-12-15 15:12:26.876466
C:\Program Files (x86)\Cisco\Cisco Secure Client\msvcp140.dll,msvcp140.dll,dll,436600,2025-06-06 15:14:46.000000,2025-06-06 15:14:46.000000,2025-12-21 19:00:05.719046
C:\Program Files (x86)\Cisco\Cisco Secure Client\Uninstall.exe,Uninstall.exe,exe,1034160,2025-06-06 15:37:02.000000,2025-06-06 15:37:02.000000,2025-12-15 15:12:32.676313
C:\Program Files (x86)\Cisco\Cisco Secure Client\VACon64.exe,VACon64.exe,exe,807856,2025-06-06 15:40:32.000000,2025-06-06 15:40:32.000000,2025-12-15 16:59:28.576135
C:\Program Files (x86)\Cisco\Cisco Secure Client\vccorlib140.dll,vccorlib140.dll,dll,267656,2025-06-06 15:14:46.000000,2025-06-06 15:14:46.000000,2025-10-03 12:04:14.598594
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpnagent.exe,vpnagent.exe,exe,1341360,2025-06-06 15:42:26.000000,2025-06-06 15:42:26.000000,2025-12-21 19:03:33.312731
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpnagentutilities.dll,vpnagentutilities.dll,dll,1067952,2025-06-06 15:43:34.000000,2025-06-06 15:43:34.000000,2025-12-21 19:00:05.385788
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpnapi.dll,vpnapi.dll,dll,1780656,2025-06-06 15:52:24.000000,2025-06-06 15:52:24.000000,2025-12-21 19:03:04.770148
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpnapishim.dll,vpnapishim.dll,dll,368048,2025-06-06 15:53:02.000000,2025-06-06 15:53:02.000000,2025-12-21 19:00:59.702749
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpncommon.dll,vpncommon.dll,dll,2459568,2025-06-06 15:53:30.000000,2025-06-06 15:53:30.000000,2025-12-21 19:00:05.335788
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpncommoncrypt.dll,vpncommoncrypt.dll,dll,541616,2025-06-06 15:54:10.000000,2025-06-06 15:54:10.000000,2025-12-21 19:00:05.148667
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpndownloader.exe,vpndownloader.exe,exe,4495280,2025-06-06 15:47:34.000000,2025-06-06 15:47:34.000000,2025-12-15 16:59:28.586696
C:\Program Files (x86)\Cisco\Cisco Secure Client\vpnipsec.dll,vpnipsec.dll,dll,674224,2025-06-06 15:53:50.000000,2025-06-06 15:53:50.000000,2025-12-21 19:00:05.205692
C:\Program Files (x86)\Cisco\Cisco Secure Client\Plugins\acdownloader.dll,acdownloader.dll,dll,3919280,2025-06-06 15:48:32.000000,2025-06-06 15:48:32.000000,2025-12-21 19:00:07.857702
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\csc_ui.exe,csc_ui.exe,exe,3094448,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-24 14:44:15.458552
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\cs-cz\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,377624,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.460002
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\de-de\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,388643,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.490109
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\es-es\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,381829,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.521745
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\fr-ca\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,394373,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.552199
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\fr-fr\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,389876,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.585031
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\hu-hu\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,389888,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.616661
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\it-it\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,375312,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.646045
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\ja-jp\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,418368,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.677749
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\ko-kr\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,385311,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.695536
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\nl-nl\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,373354,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.724503
C:\Program Files (x86)\Cisco\Cisco Secure Client\UI\l10n\pl-pl\LC_MESSAGES\SecureClientDefault.mo,SecureClientDefault.mo,mo,379095,2025-06-02 12:11:42.000000,2025-06-02 12:11:42.000000,2025-12-21 19:03:30.756395
