path,name,extension,size_bytes,created,modified,accessed
C:\FAX\MASTER\Digitalna forenzika\Seminarski rad.docx,Seminarski rad.docx,docx,1175864,2025-12-20 15:37:06,2025-12-29 20:42:22,2025-12-29 20:42:22
C:\FAX\MASTER\Digitalna forenzika\~$minarski rad.docx,~$minarski rad.docx,docx,162,2025-12-28 21:21:11,2025-12-28 21:21:11,2025-12-28 21:21:11
C:\FAX\MASTER\Digitalna forenzika\~WRL3547.tmp,~WRL3547.tmp,tmp,959858,2025-12-20 15:37:06,2025-12-22 23:47:36,2025-12-28 22:22:11
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\anomalies - Copy (2).csv,anomalies - Copy (2).csv,csv,5582,2025-12-21 21:48:34,2025-12-02 23:15:59,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\anomalies - Copy - Copy.csv,anomalies - Copy - Copy.csv,csv,5582,2025-12-21 21:48:34,2025-12-02 23:15:59,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\anomalies - Copy.csv,anomalies - Copy.csv,csv,5582,2025-12-21 21:48:34,2025-12-02 23:15:59,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\anomalies.csv,anomalies.csv,csv,5582,2025-12-21 21:48:34,2025-12-02 23:15:59,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\calendar_accessed_calplot - Copy (2).png,calendar_accessed_calplot - Copy (2).png,png,76232,2025-12-21 21:48:34,2025-12-02 23:16:12,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\calendar_accessed_calplot - Copy - Copy.png,calendar_accessed_calplot - Copy - Copy.png,png,76232,2025-12-21 21:48:34,2025-12-02 23:16:12,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\calendar_accessed_calplot - Copy.png,calendar_accessed_calplot - Copy.png,png,76232,2025-12-21 21:48:34,2025-12-02 23:16:12,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\calendar_accessed_calplot.png,calendar_accessed_calplot.png,png,76232,2025-12-21 21:48:34,2025-12-02 23:16:12,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\daily_accesses_debug - Copy (2).csv,daily_accesses_debug - Copy (2).csv,csv,7457,2025-12-21 21:48:34,2025-12-02 23:16:11,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\daily_accesses_debug - Copy - Copy.csv,daily_accesses_debug - Copy - Copy.csv,csv,7457,2025-12-21 21:48:34,2025-12-02 23:16:11,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\daily_accesses_debug - Copy.csv,daily_accesses_debug - Copy.csv,csv,7457,2025-12-21 21:48:34,2025-12-02 23:16:11,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\daily_accesses_debug.csv,daily_accesses_debug.csv,csv,7457,2025-12-21 21:48:34,2025-12-02 23:16:11,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\file_size_overview - Copy (2).png,file_size_overview - Copy (2).png,png,199001,2025-12-21 21:48:34,2025-12-02 23:16:07,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\file_size_overview - Copy - Copy.png,file_size_overview - Copy - Copy.png,png,199001,2025-12-21 21:48:34,2025-12-02 23:16:07,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\file_size_overview - Copy.png,file_size_overview - Copy.png,png,199001,2025-12-21 21:48:34,2025-12-02 23:16:07,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\file_size_overview.png,file_size_overview.png,png,199001,2025-12-21 21:48:34,2025-12-02 23:16:07,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\file_types_distribution - Copy (2).png,file_types_distribution - Copy (2).png,png,218113,2025-12-21 21:48:34,2025-12-02 23:16:01,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\file_types_distribution - Copy - Copy.png,file_types_distribution - Copy - Copy.png,png,218113,2025-12-21 21:48:34,2025-12-02 23:16:01,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\file_types_distribution - Copy.png,file_types_distribution - Copy.png,png,218113,2025-12-21 21:48:34,2025-12-02 23:16:01,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\file_types_distribution.png,file_types_distribution.png,png,218113,2025-12-21 21:48:34,2025-12-02 23:16:01,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\metadata - Copy (2).csv,metadata - Copy (2).csv,csv,44276,2025-12-21 21:48:34,2025-12-02 23:15:59,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\metadata - Copy - Copy.csv,metadata - Copy - Copy.csv,csv,44276,2025-12-21 21:48:34,2025-12-02 23:15:59,2025-12-21 21:48:34
C:\FAX\MASTER\Digitalna forenzika\21-12\29-12-2025 - Copy (5)\metadata - Copy.csv,metadata - Copy.csv,csv,44276,2025-12-21 21:48:34,2025-12-02 23:15:59,2025-12-21 21:48:34
