path,name,extension,size_bytes,created,modified,accessed
C:\POSAO VEGA\What do you know about API.docx,What do you know about API.docx,docx,11912,2025-05-25 17:19:46.318138,2025-05-25 17:19:46.456319,2025-06-12 21:23:08.942720
C:\POSAO VEGA\DependencyInjection\DependencyInjection.sln,DependencyInjection.sln,sln,1171,2025-09-09 21:45:30.491682,2025-09-09 21:45:55.721304,2025-09-29 21:37:58.524894
C:\POSAO VEGA\DependencyInjection\DependencyInjection\appsettings.Development.json,appsettings.Development.json,json,127,2025-09-09 21:45:33.783880,2025-09-09 21:45:33.790858,2025-09-09 22:16:08.846822
C:\POSAO VEGA\DependencyInjection\DependencyInjection\appsettings.json,appsettings.json,json,151,2025-09-09 21:45:33.792881,2025-09-09 21:45:33.857425,2025-09-09 22:16:08.825702
C:\POSAO VEGA\DependencyInjection\DependencyInjection\DependencyInjection.csproj,DependencyInjection.csproj,csproj,333,2025-09-09 21:45:33.858578,2025-09-09 21:45:33.959445,2025-09-09 21:46:03.235657
C:\POSAO VEGA\DependencyInjection\DependencyInjection\DependencyInjection.csproj.user,DependencyInjection.csproj.user,user,238,2025-09-09 21:45:41.683326,2025-09-09 21:45:41.832954,2025-09-09 21:46:03.818393
C:\POSAO VEGA\DependencyInjection\DependencyInjection\DependencyInjection.http,DependencyInjection.http,http,151,2025-09-09 21:45:33.960439,2025-09-09 21:45:33.961574,2025-09-09 21:45:33.961574
C:\POSAO VEGA\DependencyInjection\DependencyInjection\IRandomNumberService.cs,IRandomNumberService.cs,cs,132,2025-09-09 21:47:22.369848,2025-09-09 21:55:03.582484,2025-09-09 22:16:06.786096
C:\POSAO VEGA\DependencyInjection\DependencyInjection\Program.cs,Program.cs,cs,575,2025-09-09 21:45:33.962789,2025-09-09 22:16:05.938063,2025-09-09 22:16:06.830101
C:\POSAO VEGA\DependencyInjection\DependencyInjection\RandomNumberService.cs,RandomNumberService.cs,cs,370,2025-09-09 21:49:42.628635,2025-09-09 22:07:17.746808,2025-09-09 22:16:07.621165
