path,name,extension,size_bytes,created,modified,accessed
D:\Cornelsen\Assets\app setings local json za ditu.txt,app setings local json za ditu.txt,txt,4480,2025-10-08 16:53:05.509083,2025-12-15 15:56:22.182003,2025-12-15 15:56:22.182003
D:\Cornelsen\Assets\aws .txt,aws .txt,txt,134,2025-10-02 14:27:10.585268,2025-10-02 14:27:10.586268,2025-10-16 09:23:41.918032
D:\Cornelsen\Assets\Aws secret key.txt,Aws secret key.txt,txt,76,2025-10-06 12:25:53.170907,2025-10-06 12:25:53.171413,2025-10-17 11:49:49.982274
D:\Cornelsen\Assets\credentials back up.txt,credentials back up.txt,txt,4022,2025-10-22 10:45:48.148443,2025-10-22 10:45:48.148443,2025-12-14 22:56:46.991463
D:\Cornelsen\Assets\dita flow.png,dita flow.png,png,2598303,2025-10-28 10:21:22.173125,2025-10-28 10:21:22.657581,2025-11-05 13:45:00.745320
D:\Cornelsen\Assets\mojDita.excalidraw,mojDita.excalidraw,excalidraw,415586,2025-10-28 10:26:21.667068,2025-10-28 10:26:22.337057,2025-12-14 19:46:57.420131
D:\Cornelsen\Assets\proba.json,proba.json,json,186,2025-12-05 15:28:08.930563,2025-12-09 11:40:02.835880,2025-12-09 11:40:02.835880
D:\Cornelsen\Assets\sf150-74153 data from db.txt,sf150-74153 data from db.txt,txt,3994,2025-10-17 11:49:07.196154,2025-10-17 11:49:07.211159,2025-12-15 15:52:07.501754
D:\Cornelsen\Assets\test.txt,test.txt,txt,32,2025-12-08 13:25:40.733005,2025-12-15 16:02:23.323968,2025-12-15 16:03:20.951854
D:\Cornelsen\Assets\traceIds.txt,traceIds.txt,txt,252994,2025-12-08 13:20:42.399451,2025-11-24 16:06:22.170675,2025-12-09 11:30:11.300646
"D:\Cornelsen\Assets\VPM-4351,.md","VPM-4351,.md",md,2756,2025-11-07 11:29:16.504399,2025-11-07 11:32:52.343011,2025-11-07 11:32:52.343011
D:\Cornelsen\Assets\xml za sf150-74153.txt,xml za sf150-74153.txt,txt,1289,2025-10-16 11:47:55.502520,2025-10-16 11:47:55.503520,2025-10-30 12:18:36.319605
"D:\Cornelsen\Assets\deleting addons and usages, prod id 6127575fca918e3efcfc17ea\sf150-421600\AddOns.txt",AddOns.txt,txt,1482,2025-11-12 16:17:57.792791,2025-11-12 16:19:15.024007,2025-11-13 09:31:56.323197
"D:\Cornelsen\Assets\deleting addons and usages, prod id 6127575fca918e3efcfc17ea\sf150-421600\Usages.txt",Usages.txt,txt,949,2025-11-12 16:18:02.019332,2025-11-12 16:19:14.288245,2025-11-13 09:31:56.383353
"D:\Cornelsen\Assets\deleting addons and usages, prod id 6127575fca918e3efcfc17ea\sf150-421601\AddOns.txt",AddOns.txt,txt,4471,2025-11-20 11:58:23.220123,2025-11-20 13:56:17.426535,2025-11-20 13:56:17.426535
"D:\Cornelsen\Assets\deleting addons and usages, prod id 6127575fca918e3efcfc17ea\sf150-421601\Usages.txt",Usages.txt,txt,2935,2025-11-20 11:58:31.482312,2025-11-20 13:56:17.945629,2025-11-20 13:56:17.945629
"D:\Cornelsen\Assets\deleting addons and usages, prod id 6127575fca918e3efcfc17ea - Copy\sf150-421600\AddOns.txt",AddOns.txt,txt,1482,2025-11-20 11:54:49.739662,2025-11-12 16:19:15.024007,2025-11-20 11:54:49.739662
"D:\Cornelsen\Assets\deleting addons and usages, prod id 6127575fca918e3efcfc17ea - Copy\sf150-421600\Usages.txt",Usages.txt,txt,949,2025-11-20 11:54:49.754265,2025-11-12 16:19:14.288245,2025-11-20 11:54:49.754265
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 10\sf150-421012\AddOns.txt",AddOns.txt,txt,4277,2025-11-10 15:06:16.525672,2025-11-10 15:10:48.532182,2025-11-10 15:10:48.532182
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 10\sf150-421012\Usages.txt",Usages.txt,txt,2956,2025-11-10 15:06:22.090891,2025-11-10 15:10:49.308603,2025-11-10 15:10:49.308603
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 10\sf150-421035\AddOns.txt",AddOns.txt,txt,4279,2025-11-10 15:11:45.728686,2025-11-10 15:16:18.151347,2025-11-10 15:16:18.151347
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 10\sf150-421035\Usages.txt",Usages.txt,txt,2965,2025-11-10 15:11:49.785420,2025-11-10 15:17:12.017462,2025-11-10 15:17:12.017462
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 10\sf150-421036\AddOns.txt",AddOns.txt,txt,2836,2025-11-10 15:17:48.103190,2025-11-10 15:19:33.226644,2025-11-10 15:19:33.226644
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 10\sf150-421036\Usages.txt",Usages.txt,txt,1952,2025-11-10 15:17:54.523985,2025-11-10 15:19:32.635860,2025-11-10 15:19:32.635860
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 11\sf150-421037\AddOns.txt",AddOns.txt,txt,5703,2025-11-10 15:20:47.633920,2025-11-10 15:24:03.587986,2025-11-10 15:24:03.587986
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 11\sf150-421037\Usages.txt",Usages.txt,txt,3946,2025-11-10 15:21:04.768533,2025-11-10 15:24:27.052709,2025-11-10 15:24:27.052709
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 11\sf150-421038\AddOns.txt",AddOns.txt,txt,2835,2025-11-10 15:25:16.638608,2025-11-10 15:26:14.269511,2025-11-10 15:26:14.269511
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 11\sf150-421038\Usages.txt",Usages.txt,txt,1946,2025-11-10 15:25:30.445063,2025-11-10 15:26:41.629800,2025-11-10 15:26:41.629800
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 9\sf150-421007\AddOns.txt",AddOns.txt,txt,5716,2025-11-10 14:46:54.030555,2025-11-10 14:48:53.772802,2025-11-10 14:48:53.772802
"D:\Cornelsen\Assets\Deleting addons and usages, prod id 64142670ca918e0520ef63a2\Unit 9\sf150-421007\Usages.txt",Usages.txt,txt,3964,2025-11-10 14:49:03.580932,2025-11-10 14:57:03.234739,2025-11-10 14:57:03.234739
